slat,slon,pdate
42.241499999999995,-69.5612,2016-05-11 15:01:41
43.08272,-70.11736,2016-06-17 09:24:46
43.043549999999996,-70.19023,2016-07-06 11:36:18
42.36258,-70.16295,2016-10-12 15:30:00
42.43423,-70.10897,2016-04-21 22:44:15
42.256,-70.22,2016-05-11 20:23:26
43.07519,-70.04377000000001,2016-06-17 11:06:59
43.040240000000004,-70.17081,2016-07-06 12:52:08
42.37724,-70.22844,2016-10-12 17:02:28
42.19759,-70.10648,2017-04-12 16:36:08
43.0606,-69.33959,2017-10-10 21:31:51
43.08511000000001,-69.55414,2016-06-17 12:56:44
42.57134,-70.18393,2016-07-06 14:52:23
42.43835,-70.30437,2016-10-12 18:45:06
42.188990000000004,-70.19125,2017-04-12 18:04:12
43.12216,-69.35682,2017-10-11 10:50:38
42.23744,-70.44215,2016-05-17 14:15:07
43.07445,-69.46982,2016-06-17 15:07:24
42.573299999999996,-70.12394,2016-07-06 16:13:14
42.48277,-70.2001,2016-10-12 21:30:19
42.25733,-70.19987,2017-04-12 19:27:31
43.101000000000006,-69.41507,2017-10-11 12:55:07
42.32621,-69.40278,2016-04-22 09:39:11
42.32086,-70.42699999999999,2016-05-17 16:45:21
43.07382,-69.3537,2016-06-17 16:58:57
42.59614,-70.09435,2016-07-06 17:28:03
42.46692,-70.38648,2016-10-13 13:51:02
42.259269999999994,-70.24937,2017-04-12 20:42:20
43.07188,-69.51689,2017-10-11 14:45:12
42.27475999999999,-69.49329,2016-04-22 12:01:17
42.320460000000004,-70.25841,2016-05-17 19:34:33
43.16734,-69.36533,2016-06-17 19:03:20
42.59663,-69.57867,2016-07-06 19:08:35
42.51001,-70.34671999999999,2016-10-13 15:17:21
42.32465,-70.28208,2017-04-12 22:20:38
43.110429999999994,-69.50359,2017-10-11 16:02:55
42.24925,-69.52255,2016-04-22 13:24:14
42.572250000000004,-69.36887,2016-06-17 23:28:52
42.42868000000001,-70.34357,2016-10-13 20:11:02
43.12558,-69.55785,2017-10-11 17:42:55
42.221000000000004,-69.52203,2016-04-22 15:09:44
42.287259999999996,-70.09492,2016-05-17 22:28:04
42.53241,-69.44284999999999,2016-06-18 10:03:46
42.18126,-70.34675,2016-07-11 12:41:44
43.197219999999994,-69.44277,2017-10-11 20:03:07
42.23969,-69.41205,2016-04-22 17:23:17
42.45102,-69.33496,2016-06-18 12:19:08
42.194979999999994,-70.38161,2016-07-11 14:44:58
42.30283,-69.59206,2016-10-18 12:29:28
42.300200000000004,-70.08850000000001,2017-04-17 13:14:22
43.23908,-69.36583999999999,2017-10-11 21:40:35
43.11916,-70.06642,2016-05-18 09:32:31
42.373850000000004,-69.34245,2016-06-18 14:00:34
42.36558,-69.58541,2016-10-18 14:12:11
42.28467,-69.59339,2017-04-17 14:50:50
43.287110000000006,-70.01119,2017-10-12 12:16:22
42.27596,-70.04952,2016-04-22 22:03:35
43.129709999999996,-69.56651,2016-05-18 11:45:47
42.29116,-69.3458,2016-06-18 15:49:14
42.36929,-70.05628,2016-10-18 16:00:24
